Hlasování se opakovalo,Jen oznámeno pro záznam,Celkem,Poslanec/kyně,Klub
2,1,3,Radek Vondráček,ANO
2,0,2,Petr Gazdík,STAN
1,1,2,Věra Kovářová,STAN
1,0,1,Ladislav Okleštěk,ANO
1,0,1,Kamal Farhan,ANO
1,0,1,Stanislav Fridrich,ANO
1,0,1,Jana Mračková Vildumetzová,ANO
1,0,1,Petr Sadovský,ANO
1,0,1,Marek Novák,ANO
1,0,1,Berenika Peštová,ANO
1,0,1,Antonín Tesařík,KDU-ČSL
1,0,1,Jan Bartošek,KDU-ČSL
1,0,1,Aleš Dufek,KDU-ČSL
1,0,1,Karel Smetana,KDU-ČSL
1,0,1,Marek Benda,ODS
1,0,1,Michal Kučera,TOP09
0,3,3,Šimon Heller,KDU-ČSL
0,2,2,Roman Kubíček,ANO
0,2,2,Vojtěch Munzar,ODS
0,2,2,Barbora Urbanová,STAN
0,2,2,Pavel Klíma,TOP09
0,1,1,Helena Válková,ANO
0,1,1,Alena Schillerová,ANO
0,1,1,Tomáš Helebrant,ANO
0,1,1,Marek Výborný,KDU-ČSL
0,1,1,Petr Fiala,ODS
0,1,1,Olga Richterová,Piráti
0,1,1,Iveta Štefanová,SPD
0,1,1,Martin Hájek,STAN
0,1,1,Pavla Pivoňka Vaňková,STAN
0,1,1,Eliška Olšáková,STAN
0,1,1,Ondřej Lochman,STAN
0,1,1,Helena Langšádlová,TOP09
0,1,1,Vlastimil Válek,TOP09
0,1,1,Matěj Ondřej Havel,TOP09
