Hlasování se opakovalo,Jen oznámeno pro záznam,Celkem,Poslanec/kyně,Klub
0,4,4,Radek Vondráček,ANO
0,4,4,Michal Kučera,TOP09
1,1,2,Josef Kott,ANO
1,1,2,Jan Farský,STAN
0,2,2,Ivan Bartoš,Piráti
1,0,1,Helena Válková,ANO
1,0,1,Martin Kolovratník,ANO
1,0,1,Julius Špičák,ANO
1,0,1,Robert Králíček,ANO
1,0,1,Berenika Peštová,ANO
1,0,1,Vladimíra Lesenská,SPD
1,0,1,Věra Kovářová,STAN
1,0,1,Jana Krutáková,STAN
0,1,1,Eva Fialová,ANO
0,1,1,Jana Mračková Vildumetzová,ANO
0,1,1,Patrik Nacher,ANO
0,1,1,Ivo Vondrák,ANO
0,1,1,Renata Oulehlová,ANO
0,1,1,Jan Bartošek,KDU-ČSL
0,1,1,Jiří Navrátil,KDU-ČSL
0,1,1,Petr Fiala,ODS
0,1,1,Petr Beitl,ODS
0,1,1,Jakub Janda,ODS
0,1,1,Karla Maříková,SPD
0,1,1,Jan Síla,SPD
0,1,1,Ondřej Lochman,STAN
0,1,1,Markéta Pekarová Adamová,TOP09
0,1,1,Ondřej Kolář,TOP09
