index,Hlasování se opakovalo,Jen oznámeno pro záznam,Celkem,Poslanec/kyně,Klub
5,2,1,3,Radek Vondráček,ANO
2,2,0,2,Petr Gazdík,STAN
9,1,1,2,Věra Kovářová,STAN
7,1,0,1,Ladislav Okleštěk,ANO
12,1,0,1,Kamal Farhan,ANO
13,1,0,1,Stanislav Fridrich,ANO
14,1,0,1,Jana Mračková Vildumetzová,ANO
19,1,0,1,Petr Sadovský,ANO
20,1,0,1,Marek Novák,ANO
32,1,0,1,Berenika Peštová,ANO
1,1,0,1,Antonín Tesařík,KDU-ČSL
8,1,0,1,Jan Bartošek,KDU-ČSL
22,1,0,1,Aleš Dufek,KDU-ČSL
23,1,0,1,Karel Smetana,KDU-ČSL
0,1,0,1,Marek Benda,ODS
11,1,0,1,Michal Kučera,TOP09
27,0,3,3,Šimon Heller,KDU-ČSL
10,0,2,2,Roman Kubíček,ANO
17,0,2,2,Vojtěch Munzar,ODS
34,0,2,2,Barbora Urbanová,STAN
30,0,2,2,Pavel Klíma,TOP09
6,0,1,1,Helena Válková,ANO
21,0,1,1,Alena Schillerová,ANO
26,0,1,1,Tomáš Helebrant,ANO
18,0,1,1,Marek Výborný,KDU-ČSL
4,0,1,1,Petr Fiala,ODS
15,0,1,1,Olga Richterová,Piráti
33,0,1,1,Iveta Štefanová,SPD
24,0,1,1,Martin Hájek,STAN
28,0,1,1,Pavla Pivoňka Vaňková,STAN
29,0,1,1,Eliška Olšáková,STAN
31,0,1,1,Ondřej Lochman,STAN
3,0,1,1,Helena Langšádlová,TOP09
16,0,1,1,Vlastimil Válek,TOP09
25,0,1,1,Matěj Ondřej Havel,TOP09
