voter_id,dim1,dim2,dim3,příjmení,jméno,kandidátka,klub,datum
4,27.09748877021487,-0.151824056414999,-16.95486169477267,Benda,Marek,SPOLU,ODS,2. pol. 2021
207,-30.740370472146036,16.465583674359316,15.199835294074186,Bašta,Jaroslav,SPD,SPD,2. pol. 2021
346,26.856861858509404,0.6757442792235452,-17.18528662927124,Bendl,Petr,SPOLU,ODS,2. pol. 2021
5226,26.525755925052746,0.08166013597176758,-16.22840891715206,Žáček,Pavel,SPOLU,ODS,2. pol. 2021
5332,26.94018482911702,-0.05417006856903211,-16.8723117171007,Tesařík,Antonín,SPOLU,KDU-ČSL,2. pol. 2021
5379,26.96626749483949,0.9149997180223494,-17.495949268557773,Bauer,Jan,SPOLU,ODS,2. pol. 2021
5449,23.975571286822806,0.8074688386398837,-14.577464286814466,Carbol,Jiří,SPOLU,KDU-ČSL,2. pol. 2021
5459,-31.04358721184366,17.241014381544932,15.516343932156168,Fiala,Radim,SPD,SPD,2. pol. 2021
5477,-30.74569392956914,16.249750755812336,15.312371049256368,Lesenská,Vladimíra,SPD,SPD,2. pol. 2021
5700,26.72019422525809,0.7727971156689447,-17.277024130889572,Adamec,Ivan,SPOLU,ODS,2. pol. 2021
5899,26.79859425953498,-0.9155213760896638,-16.767808969263424,Bureš,Jan,SPOLU,ODS,2. pol. 2021
5901,26.94018482911702,-0.05417006856903211,-16.8723117171007,Cogan,Josef,PirSTAN,STAN,2. pol. 2021
5903,22.164657893196207,1.1965241542768659,-13.844782602556108,Černochová,Jana,SPOLU,ODS,2. pol. 2021
5909,27.31001984784261,0.9088259156226799,-17.362595572831303,Farský,Jan,PirSTAN,STAN,2. pol. 2021
5911,-30.692273656088116,16.292631701441586,15.393995258574469,Foldyna,Jaroslav,SPD,SPD,2. pol. 2021
5914,26.5397634416368,-0.16363357242170923,-16.813801333277578,Gazdík,Petr,PirSTAN,STAN,2. pol. 2021
5943,27.897419219252335,1.1190316112737886,-17.865989450324687,Langšádlová,Helena,SPOLU,TOP09,2. pol. 2021
5968,27.09061688481605,-0.0943805520369504,-16.922052856136233,Staněk,Pavel,SPOLU,ODS,2. pol. 2021
5969,21.86008596084057,-0.8312877913237645,-12.889049949092572,Stanjura,Zbyněk,SPOLU,ODS,2. pol. 2021
6007,26.32251258954158,0.6952610315716766,-16.459000059872402,Svoboda,Bohuslav,SPOLU,ODS,2. pol. 2021
6074,27.865199691160754,0.40778986849931764,-18.51553066015928,Fiala,Petr,SPOLU,ODS,2. pol. 2021
6079,20.557952241496633,1.9904460898320713,-11.116117889665068,Blažek,Pavel,SPOLU,ODS,2. pol. 2021
6105,-31.11181641926129,17.338539917920947,14.858675862013644,Okamura,Tomio,SPD,SPD,2. pol. 2021
6138,21.743601816305144,2.0186868320820803,-13.356201940234595,Bělobrádek,Pavel,SPOLU,KDU-ČSL,2. pol. 2021
6143,-31.92607351822309,-4.95167104919297,22.185627935327606,Berkovec,Stanislav,ANO2011,ANO,2. pol. 2021
6147,27.547754670093504,-0.018674041495838956,-17.56141303041619,Pekarová Adamová,Markéta,SPOLU,TOP09,2. pol. 2021
6150,-37.84997437822758,10.904224255283562,22.058250081760075,Babiš,Andrej,ANO2011,ANO,2. pol. 2021
6154,26.67301534779069,-0.141870942083762,-16.447728015729524,Ženíšek,Marek,SPOLU,TOP09,2. pol. 2021
6158,-31.441723774190407,-5.5742854066477,21.305655823743095,Rais,Karel,ANO2011,ANO,2. pol. 2021
6165,-31.00556487678333,0.6463980242318642,19.26777996444945,Vondráček,Radek,ANO2011,ANO,2. pol. 2021
6166,-32.49065262943789,-4.344244648677542,22.739056275984606,Volný,Jan,ANO2011,ANO,2. pol. 2021
6168,-33.22303262513464,-5.341555688540111,21.569277543003604,Válková,Helena,ANO2011,ANO,2. pol. 2021
6172,-31.504765485558398,-5.487888869914262,21.20848620976594,Okleštěk,Ladislav,ANO2011,ANO,2. pol. 2021
6176,26.94046358649191,-0.05443995806516547,-16.886611976196665,Nováková,Nina,SPOLU,KDU-ČSL,2. pol. 2021
6177,-29.80757119908736,-5.099396864396478,19.971551938972013,Balaštíková,Margita,ANO2011,ANO,2. pol. 2021
6178,26.913099578340788,1.2937024454114048,-17.40227929531666,Bartošek,Jan,SPOLU,KDU-ČSL,2. pol. 2021
6179,26.945737364639875,0.008935646916170293,-16.83851726742756,Benešík,Ondřej,SPOLU,KDU-ČSL,2. pol. 2021
6184,-32.00160146992306,-5.7785899545040555,21.46680444797069,Brabec,Richard,ANO2011,ANO,2. pol. 2021
6185,-31.862381902640585,-4.666962456496567,20.831640526613217,Brázdil,Milan,ANO2011,ANO,2. pol. 2021
6190,-32.77123449795835,-5.031308641546312,22.342970228724,Faltýnek,Jaroslav,ANO2011,ANO,2. pol. 2021
6201,-32.392216191173446,-4.075984259393892,21.869318369649573,Janulík,Miloslav,ANO2011,ANO,2. pol. 2021
6202,-32.80252149470744,-6.2764942117940405,21.985522813187625,Pokorná Jermanová,Jaroslava,ANO2011,ANO,2. pol. 2021
6205,27.39566425044519,1.6373028417092543,-17.68636579366676,Jurečka,Marian,SPOLU,KDU-ČSL,2. pol. 2021
6207,26.937874448727715,-0.061958217785198715,-16.877417977716526,Kaňkovský,Vít,SPOLU,KDU-ČSL,2. pol. 2021
6209,-36.070229738564365,-9.824421414277598,26.072925757744002,Kasal,David,ANO2011,ANO,2. pol. 2021
6211,-33.501715394255804,-3.695669775963342,22.22520243094788,Kolovratník,Martin,ANO2011,ANO,2. pol. 2021
6214,26.802538107201737,-0.0590980072454725,-15.887801087312402,Kovářová,Věra,PirSTAN,STAN,2. pol. 2021
6215,-32.30219129951003,-4.222062232104499,21.983752148466035,Kubíček,Roman,ANO2011,ANO,2. pol. 2021
6216,27.209219566150715,0.12675652936424878,-17.041893426199266,Kučera,Michal,SPOLU,TOP09,2. pol. 2021
6225,-31.735711979782824,-4.342369107667163,21.805521408147953,Pastuchová,Jana,ANO2011,ANO,2. pol. 2021
6240,-35.96375709654286,-9.937969992050583,26.24992974423783,Tureček,Karel,ANO2011,ANO,2. pol. 2021
6246,-31.623122752138222,-5.590613698612125,21.243723883926616,Kott,Josef,ANO2011,ANO,2. pol. 2021
6254,-32.030044247229306,-4.944852992999909,22.203884568899642,Adámková,Věra,ANO2011,ANO,2. pol. 2021
6292,24.099978029180672,0.7963926243405551,-14.638664714740525,Golasowská,Pavla,SPOLU,KDU-ČSL,2. pol. 2021
6409,-31.858562172416132,-4.634553911858632,20.857741122309555,Petrtýl,František,ANO2011,ANO,2. pol. 2021
6418,26.570674909637702,1.7870550260221232,-17.68937257571707,Skopeček,Jan,SPOLU,ODS,2. pol. 2021
6428,-28.206850193773523,-4.5347266424074935,18.979207557547625,Babišová,Andrea,ANO2011,ANO,2. pol. 2021
6430,-32.47421817495325,-6.357774678666493,21.800300726524693,Dostálová,Klára,ANO2011,ANO,2. pol. 2021
6431,-32.266126252411965,-4.2991889127259135,22.08488155443821,Dražilová,Lenka,ANO2011,ANO,2. pol. 2021
6433,26.840147507956775,-0.1355200899466298,-16.721985829005376,Bartoš,Ivan,PirSTAN,Piráti,2. pol. 2021
6435,26.824498261965953,-0.07436009372168226,-16.658254192545744,Baxa,Martin,SPOLU,ODS,2. pol. 2021
6436,27.923666671921985,0.8370700930634078,-17.897527993386433,Beitl,Petr,SPOLU,ODS,2. pol. 2021
6437,-31.898665194912752,-4.558428145051037,20.838969057207184,Bělica,Josef,ANO2011,ANO,2. pol. 2021
6438,27.068848376450003,-0.09975409500437703,-16.844946576605977,Blaha,Stanislav,SPOLU,ODS,2. pol. 2021
6441,-31.498178702523216,-6.096866606956873,20.889874616201507,Bžoch,Jaroslav,ANO2011,ANO,2. pol. 2021
6445,-31.02862262152938,17.02925496401274,14.897762379649942,Dvořák,Jaroslav,SPD,SPD,2. pol. 2021
6447,-32.392216191173446,-4.075984259393892,21.869318369649573,Farhan,Kamal,ANO2011,ANO,2. pol. 2021
6448,-31.86964005921962,-4.027062005085765,21.315606034450266,Feranec,Milan,ANO2011,ANO,2. pol. 2021
6451,-31.504765485558398,-5.487888869914262,21.20848620976594,Fridrich,Stanislav,ANO2011,ANO,2. pol. 2021
6455,-30.69476757244397,15.358354728018499,14.586605602470895,Hrnčíř,Jan,SPD,SPD,2. pol. 2021
6457,-31.364970953782876,-5.624022343328068,21.375986438695517,Fialová,Eva,ANO2011,ANO,2. pol. 2021
6458,-32.90077446618574,-6.546733517861064,23.127010233582546,Jáč,Ivan,ANO2011,ANO,2. pol. 2021
6459,26.59882144952486,-0.1258561571213524,-16.415546409369355,Janda,Jakub,SPOLU,ODS,2. pol. 2021
6463,-31.523066902098634,-5.523290092603379,21.25079386646087,Juchelka,Aleš,ANO2011,ANO,2. pol. 2021
6466,26.98648422362957,-0.24228258893893903,-17.04984779407862,Krutáková,Jana,PirSTAN,STAN,2. pol. 2021
6468,-32.22998940726092,-4.770743750941757,21.81342097938853,Malá,Taťána,ANO2011,ANO,2. pol. 2021
6469,-30.880127724982913,17.316596771123443,14.64109193672085,Maříková,Karla,SPD,SPD,2. pol. 2021
6471,-32.430327885032355,-4.128742022080506,21.825296009787547,Mračková Vildumetzová,Jana,ANO2011,ANO,2. pol. 2021
6473,27.108202541714963,-0.0720114989433031,-16.916707795162132,Richterová,Olga,PirSTAN,Piráti,2. pol. 2021
6474,-32.03841950431572,-4.929319217449521,22.220063457105958,Ožanová,Zuzana,ANO2011,ANO,2. pol. 2021
6475,-32.392216191173446,-4.075984259393892,21.869318369649573,Oborná,Monika,ANO2011,ANO,2. pol. 2021
6477,26.646576414716638,0.42015295120554214,-16.68671330516104,Michálek,Jakub,PirSTAN,Piráti,2. pol. 2021
6479,-31.077906559055812,17.297126038270807,14.827902166138092,Šafránková,Lucie,SPD,SPD,2. pol. 2021
6482,28.13510468856562,2.177185950183188,-16.87913494390422,Válek,Vlastimil,SPOLU,TOP09,2. pol. 2021
6484,-34.57533003214859,-9.303229749661815,24.135532956928802,Štolpa,David,ANO2011,ANO,2. pol. 2021
6486,27.636722620134808,0.4138234254308827,-17.358517587748775,Munzar,Vojtěch,SPOLU,ODS,2. pol. 2021
6487,-31.637151204817606,1.2380598348923277,17.822329018890233,Nacher,Patrik,ANO2011,ANO,2. pol. 2021
6490,-31.541969651781354,-5.623832112113846,21.315027066377866,Vrána,Petr,ANO2011,ANO,2. pol. 2021
6492,-32.19149244086649,-4.25617703319934,22.555135154524628,Vondrák,Ivo,ANO2011,Nezařazení,2. pol. 2021
6495,-30.512873164558883,16.45714138784811,14.051994277867971,Vích,Radovan,SPD,SPD,2. pol. 2021
6500,-32.2952049643809,-4.089403726213499,20.654943919401347,Richter,Jan,ANO2011,ANO,2. pol. 2021
6503,-30.577420251648128,16.788449443025023,13.80531204069212,Kobza,Jiří,SPD,SPD,2. pol. 2021
6505,-33.08307934123966,-6.4209615444496,22.531801812800722,Špičák,Julius,ANO2011,ANO,2. pol. 2021
6506,-33.15081051095587,-5.631488237782378,23.254882860740867,Kohoutek,Tomáš,ANO2011,ANO,2. pol. 2021
6508,-30.807635075010342,16.615665982130288,15.01166648410936,Koten,Radek,SPD,SPD,2. pol. 2021
6509,-31.765628468492444,-4.794558712037699,21.020722670142767,Králíček,Robert,ANO2011,ANO,2. pol. 2021
6510,27.04244957253265,-0.11711911139041012,-16.88508322076002,Krejza,Karel,SPOLU,ODS,2. pol. 2021
6511,-29.252010215138867,-3.199401957215905,18.30743980639591,Kubík,Jan,ANO2011,ANO,2. pol. 2021
6513,27.053050433260466,-0.3947297889638027,-16.5714593850195,Výborný,Marek,SPOLU,KDU-ČSL,2. pol. 2021
6515,-26.629233068008137,-5.822805625819207,17.569410514976784,Strýček,Jiří,ANO2011,ANO,2. pol. 2021
6518,-31.441515645168575,-6.361233239846688,20.932753099832702,Sadovský,Petr,ANO2011,ANO,2. pol. 2021
6520,-31.430642816687545,-5.643196087936208,21.349777698391975,Růžička,Pavel,ANO2011,ANO,2. pol. 2021
6521,-31.077906559055812,17.297126038270807,14.827902166138092,Rozvoral,Radek,SPD,SPD,2. pol. 2021
6523,-31.486242972287126,-6.2258470077739965,21.063271651022553,Ratiborský,Michal,ANO2011,ANO,2. pol. 2021
6524,26.897176607108157,-3.560074500373997,-13.993652507770673,Rakušan,Vít,PirSTAN,STAN,2. pol. 2021
6527,-29.92967853423233,-1.3360981964558232,18.20117005706921,Pražák,David,ANO2011,ANO,2. pol. 2021
6533,-31.52977188092068,-5.485770179324623,21.41957513773671,Novák,Marek,ANO2011,ANO,2. pol. 2021
6534,-29.7527270303303,-0.6706229827231777,17.937849551858008,Mašek,Jiří,ANO2011,ANO,2. pol. 2021
6538,27.82674905103108,0.5706217693727312,-18.05987824582813,Kupka,Martin,SPOLU,ODS,2. pol. 2021
6544,-31.779866848131128,-4.828102708476201,21.040073996538762,Metnar,Lubomír,ANO2011,ANO,2. pol. 2021
6545,-32.13514272137885,-5.079970927931414,21.416509224657858,Schillerová,Alena,ANO2011,ANO,2. pol. 2021
6555,27.093625566841748,0.2461048741679536,-16.954634764161618,Philipp,Tom,SPOLU,KDU-ČSL,2. pol. 2021
6621,-32.540359932755656,-5.7378669916175555,22.862466139536465,Havlíček,Karel,ANO2011,ANO,2. pol. 2021
6623,-32.032753556347686,-4.0838892507855284,20.933617573647457,Babka,Ondřej,ANO2011,ANO,2. pol. 2021
6687,26.963925593576285,-0.08164749433987871,-16.787495758861184,Jakob,Jan,SPOLU,TOP09,2. pol. 2021
6719,30.07847074228292,2.929767633741314,-20.221480529501495,Bačíková,Jana,SPOLU,ODS,2. pol. 2021
6720,26.954434384628733,-0.07276201087602174,-16.886531174634406,Bělohlávková,Romana,SPOLU,KDU-ČSL,2. pol. 2021
6721,26.94046358649191,-0.05443995806516547,-16.886611976196665,Bělor,Roman,PirSTAN,STAN,2. pol. 2021
6722,26.887213284197607,0.6598097808924206,-17.04868314947443,Berki,Jan,PirSTAN,STAN,2. pol. 2021
6723,-31.504765485558398,-5.487888869914262,21.20848620976594,Berkovcová,Jana,ANO2011,ANO,2. pol. 2021
6724,26.711434450146356,1.1813941006506075,-17.264821119350323,Bernard,Josef,PirSTAN,STAN,2. pol. 2021
6725,-31.698005191015,-5.155318106599414,21.76694762392293,Brož,Lubomír,ANO2011,ANO,2. pol. 2021
6726,-30.63471641028559,16.879624338147046,13.842019933230484,Černý,Oldřich,SPD,SPD,2. pol. 2021
6727,26.887210106762424,-0.3927309185120511,-16.578586008554357,Decroix,Eva,SPOLU,ODS,2. pol. 2021
6728,26.94018482911702,-0.05417006856903211,-16.8723117171007,Dubský,Tomáš,PirSTAN,STAN,2. pol. 2021
6729,26.940184829117015,-0.05417006856903262,-16.872311717100708,Dufek,Aleš,SPOLU,KDU-ČSL,2. pol. 2021
6730,-32.03876365113022,-4.9323262350966885,22.238113401631047,Wenzl,Lubomír,ANO2011,ANO,2. pol. 2021
6731,-16.082292317995705,-2.4318029443666087,0.3271992057462749,Wenzl,Milan,ANO2011,ANO,2. pol. 2021
6732,-32.03841950431572,-4.929319217449521,22.220063457105958,Mádlová,Ivana,ANO2011,ANO,2. pol. 2021
6733,27.036884818612915,-0.0634364982838492,-16.975384622848274,Major,Martin,SPOLU,ODS,2. pol. 2021
6734,26.957548272035094,-0.06064666026162343,-16.844514413535016,Liška,Petr,PirSTAN,STAN,2. pol. 2021
6735,26.71425900514546,-0.20724773453290093,-16.685243725385007,Kuchař,Jan,PirSTAN,STAN,2. pol. 2021
6736,-31.65293279348124,-5.586855865225036,21.30549326957044,Kukla,Martin,ANO2011,ANO,2. pol. 2021
6737,26.92198891019166,0.0026339816940564894,-16.81399356568303,Lacina,Jan,PirSTAN,STAN,2. pol. 2021
6738,-27.57272801305375,-3.6427526934920853,18.44659449510832,Lang,Hubert,ANO2011,ANO,2. pol. 2021
6739,26.94018482911702,-0.05417006856903211,-16.8723117171007,Letocha,Petr,PirSTAN,STAN,2. pol. 2021
6740,-34.57944096916631,16.898822385005502,17.2068929782921,Sládeček,Karel,SPD,SPD,2. pol. 2021
6741,26.94018482911702,-0.05417006856903211,-16.8723117171007,Slavík,Jiří,SPOLU,TOP09,2. pol. 2021
6742,28.374850868417578,0.8964600597608432,-18.343538919677023,Smetana,Karel,SPOLU,KDU-ČSL,2. pol. 2021
6743,-31.504765485558398,-5.487888869914262,21.20848620976594,Stržínek,Robert,ANO2011,ANO,2. pol. 2021
6744,27.268842229109733,-2.8716840998939372,-15.944170518926908,Salvetr,Rudolf,SPOLU,ODS,2. pol. 2021
6745,-30.5856172303094,16.863992799103208,13.78013938707518,Pošarová,Marie,SPD,SPD,2. pol. 2021
6746,26.94046358649191,-0.05443995806516547,-16.886611976196665,Potůčková,Lucie,PirSTAN,STAN,2. pol. 2021
6747,26.94046358649191,-0.05443995806516547,-16.886611976196665,Exner,Martin,PirSTAN,STAN,2. pol. 2021
6748,27.925780920398854,0.7933122769542069,-17.875182655176943,Fifka,Petr,SPOLU,ODS,2. pol. 2021
6749,-36.02758582538387,-9.829038058754435,25.97124008145654,Fischerová,Romana,ANO2011,ANO,2. pol. 2021
6750,24.702372247928928,0.04583753025718505,-16.020288951535722,Flek,Josef,PirSTAN,STAN,2. pol. 2021
6751,26.94018482911702,-0.05417006856903211,-16.8723117171007,Haas,Karel,SPOLU,ODS,2. pol. 2021
6752,26.94018482911702,-0.05417006856903211,-16.8723117171007,Hájek,Martin,PirSTAN,STAN,2. pol. 2021
6753,-32.312725454233096,-6.799395597102299,22.55482664672482,Hanzlíková,Jana,ANO2011,ANO,2. pol. 2021
6754,26.940184829117015,-0.05417006856903262,-16.872311717100708,Havel,Matěj Ondřej,SPOLU,TOP09,2. pol. 2021
6755,26.783218046668456,0.7760260002836888,-17.330006012577186,Havránek,Jiří,SPOLU,ODS,2. pol. 2021
6756,-33.356476447825926,-5.581120492003571,23.03668400725552,Helebrant,Tomáš,ANO2011,ANO,2. pol. 2021
6757,26.94250549882134,-0.05413120919664329,-16.877202395124353,Heller,Šimon,SPOLU,KDU-ČSL,2. pol. 2021
6758,-31.504765485558398,-5.487888869914262,21.20848620976594,Hendrych,Igor,ANO2011,ANO,2. pol. 2021
6759,26.94018482911702,-0.05417006856903211,-16.8723117171007,Hofmann,Jan,SPOLU,ODS,2. pol. 2021
6760,-39.77110308931861,7.290954764360385,26.969668083625766,Holiš,Radim,ANO2011,ANO,2. pol. 2021
6761,26.94018482911702,-0.05417006856903211,-16.8723117171007,Quittová,Petra,PirSTAN,STAN,2. pol. 2021
