mp_id,dim1,dim2,dim3,příjmení,jméno,kandidátka,klub,datum
4,31.27819905573476,15.731277567583,0.8898368645460312,Benda,Marek,Spolu,ODS,2. pol. 2021
207,-35.47334309070193,-19.717554115796563,17.003314399404275,Bašta,Jaroslav,Svoboda a prima demokracie - Tomio Okamura,SPD,2. pol. 2021
346,31.001360656775027,15.514097754715301,1.7969040189354961,Bendl,Petr,Spolu,ODS,2. pol. 2021
5226,30.621218208845445,15.247491006439787,1.0352755169218435,Žáček,Pavel,Spolu,ODS,2. pol. 2021
5332,31.096143976015604,15.61522703470991,0.9765189984343005,Tesařík,Antonín,Spolu,KDU-ČSL,2. pol. 2021
5379,31.12226508629775,15.880256642477416,2.1579387498400133,Bauer,Jan,Spolu,ODS,2. pol. 2021
5449,27.67099716376736,12.982675215998077,1.5619368169456012,Carbol,Jiří,Spolu,KDU-ČSL,2. pol. 2021
5459,-35.85200452681157,-20.573109586278523,17.166568176530348,Fiala,Radim,Svoboda a prima demokracie - Tomio Okamura,SPD,2. pol. 2021
5477,-35.4817864372652,-19.665989483862877,16.73234268115359,Lesenská,Vladimíra,Svoboda a prima demokracie - Tomio Okamura,SPD,2. pol. 2021
5700,30.839743455267286,15.474038608227172,1.9054211315018956,Adamec,Ivan,Spolu,ODS,2. pol. 2021
5899,30.92384820951609,15.62543355870777,0.03339249952389028,Bureš,Jan,Spolu,ODS,2. pol. 2021
5901,31.096143976015604,15.61522703470991,0.9765189984343005,Cogan,Josef,Pirati+STAN,STAN,2. pol. 2021
5903,25.559983835776233,12.448679482667478,2.263333579659258,Černochová,Jana,Spolu,ODS,2. pol. 2021
5909,31.52139732542674,15.898245130155903,2.023911348981996,Farský,Jan,Pirati+STAN,STAN,2. pol. 2021
5911,-35.41918045957048,-19.76967558286473,16.80999083866377,Foldyna,Jaroslav,Svoboda a prima demokracie - Tomio Okamura,SPD,2. pol. 2021
5914,30.615294988724063,15.50508279748245,0.8882631024164395,Gazdík,Petr,Pirati+STAN,STAN,2. pol. 2021
5943,32.18267726495005,16.160143531703437,2.452966568538222,Langšádlová,Helena,Spolu,TOP09,2. pol. 2021
5968,31.268354150531334,15.682544795534707,0.9267028304822875,Staněk,Pavel,Spolu,ODS,2. pol. 2021
5969,25.203122315759792,12.07463181451293,0.09576423481934844,Stanjura,Zbyněk,Spolu,ODS,2. pol. 2021
6007,30.382102250955977,15.03630513205742,1.7670874704267199,Svoboda,Bohuslav,Spolu,ODS,2. pol. 2021
6074,32.14128825273333,17.083634678751192,1.8662680079810574,Fiala,Petr,Spolu,ODS,2. pol. 2021
6079,23.691506167854115,11.430214947100461,3.605683998328775,Blažek,Pavel,Spolu,ODS,2. pol. 2021
6105,-35.905736526480524,-19.92322750177833,17.957081636107908,Okamura,Tomio,Svoboda a prima demokracie - Tomio Okamura,SPD,2. pol. 2021
6138,25.08670189998502,11.693274145246553,3.052403084872534,Bělobrádek,Pavel,Spolu,KDU-ČSL,2. pol. 2021
6143,-36.84041691057994,-18.07600748257916,-6.770355684249509,Berkovec,Stanislav,ANO2011,ANO,2. pol. 2021
6147,31.79119776697595,16.199694828260412,1.0646664868211428,Pekarová Adamová,Markéta,Spolu,TOP09,2. pol. 2021
6150,-43.68853887320888,-23.9418228672793,6.870988149526976,Babiš,Andrej,ANO2011,ANO,2. pol. 2021
6154,30.788698620182544,15.415977707699817,0.8130324997351183,Ženíšek,Marek,Spolu,TOP09,2. pol. 2021
6158,-36.29271567920338,-17.424858554042768,-7.35076102688385,Rais,Karel,ANO2011,ANO,2. pol. 2021
6165,-35.7895309473427,-17.95185682342129,-0.5182612327327971,Vondráček,Radek,ANO2011,ANO,2. pol. 2021
6166,-37.49206808946609,-18.603290756321677,-6.110450530350286,Volný,Jan,ANO2011,ANO,2. pol. 2021
6168,-38.35158956702118,-19.40455137731836,-7.439916990652728,Válková,Helena,ANO2011,ANO,2. pol. 2021
6172,-36.358208366900946,-17.62564917250315,-7.299607361125973,Okleštěk,Ladislav,ANO2011,ANO,2. pol. 2021
6176,31.09707857987261,15.631253333872811,0.9767503185766861,Nováková,Nina,Spolu,KDU-ČSL,2. pol. 2021
6177,-34.39031623322228,-15.699800085237266,-6.50501431902008,Balaštíková,Margita,ANO2011,ANO,2. pol. 2021
6178,31.055083566755545,15.630994738201252,2.487900585119659,Bartošek,Jan,Spolu,KDU-ČSL,2. pol. 2021
6179,31.10111682262103,15.682464172610205,1.0592014689555078,Benešík,Ondřej,Spolu,KDU-ČSL,2. pol. 2021
6184,-36.93244359942839,-18.090059119650267,-7.729511879916898,Brabec,Richard,ANO2011,ANO,2. pol. 2021
6185,-36.77575069968841,-17.7262395836041,-6.358293449306059,Brázdil,Milan,ANO2011,ANO,2. pol. 2021
